timestamp,count,uniques
2026-08-04T00:00:00Z,0,0
2026-08-05T00:00:00Z,1,1
2026-08-06T00:00:00Z,0,0
2026-08-07T00:00:00Z,8,4
2026-08-08T00:00:00Z,0,0
2026-08-09T00:00:00Z,0,0
2026-08-10T00:00:00Z,0,0
2026-08-11T00:00:00Z,0,0
2026-08-12T00:00:00Z,0,0
2026-08-13T00:00:00Z,0,0
2026-08-14T00:00:00Z,0,0
2026-08-15T00:00:00Z,0,0
2026-08-16T00:00:00Z,2,1
2026-08-17T00:00:00Z,7,6
2026-08-18T00:00:00Z,4,2
2026-08-19T00:00:00Z,5,2
2026-08-20T00:00:00Z,0,0
2026-08-21T00:00:00Z,0,0
2026-08-22T00:00:00Z,0,0
2026-08-23T00:00:00Z,14,7
2026-08-24T00:00:00Z,22,12
2026-08-25T00:00:00Z,2,2
2026-08-26T00:00:00Z,4,3
2026-08-27T00:00:00Z,5,3
2026-08-28T00:00:00Z,1,1
2026-08-29T00:00:00Z,16,2
2026-08-30T00:00:00Z,0,0
2026-08-31T00:00:00Z,1,1
2026-09-01T00:00:00Z,1,1
